,XAUUSD_Close,XAUUSD_Open,XAUUSD_High,XAUUSD_Low,DXY_Close,SPX_Close,US10Y_Close,VIX_Close
2010-08-26,1237.15,1238.95,1244.3,1234.3,82.934,1047.22,2.53900003,27.37
2010-08-27,1237.72,1237.62,1242.3,1232.09,82.918,1064.59,2.48099995,24.45
2010-08-31,1247.82,1236.6,1249.85,1232.0,83.202,1049.33,2.52999997,26.05
2010-09-01,1243.9,1247.25,1254.74,1242.6,82.522,1080.29,2.47000003,23.89
2010-09-02,1249.9,1243.95,1253.3,1243.9,82.463,1090.1,2.57999992,23.19
2010-09-03,1246.4,1250.5,1253.85,1238.15,82.018,1104.51,2.625,21.31
2010-09-08,1254.3,1253.9,1262.9,1253.55,82.585,1098.87,2.59800005,23.25
2010-09-09,1244.5,1254.25,1258.85,1242.55,82.674,1104.18,2.65400004,22.81
2010-09-10,1246.35,1243.25,1251.35,1236.95,82.698,1109.55,2.76200008,21.99001
2010-09-14,1268.1,1245.42,1274.8,1244.95,81.08,1121.1,2.74600005,21.56
2010-09-15,1266.55,1268.3,1272.0,1263.45,81.491,1125.07,2.68300009,22.10001
2010-09-16,1273.7,1267.0,1277.85,1265.05,81.241,1124.66,2.72300005,21.72
2010-09-17,1274.1,1273.29,1282.9,1272.15,81.398,1125.59,2.76399994,22.00999
2010-09-21,1284.9,1278.2,1290.55,1271.3,80.439,1139.78,2.704,22.35001
2010-09-22,1290.92,1285.59,1296.25,1285.59,79.83,1134.28,2.57599998,22.50999
2010-09-23,1291.45,1290.94,1296.1,1287.1,80.01,1124.83,2.55500007,23.87
2010-09-24,1296.37,1292.55,1300.1,1290.05,79.395,1148.67,2.55299997,21.71001
2010-09-28,1307.6,1293.35,1310.15,1281.52,79.014,1147.7,2.5309999,22.60001
2010-09-29,1308.4,1307.2,1313.45,1305.2,78.691,1144.73,2.46700001,23.25
2010-09-30,1307.65,1307.85,1316.25,1296.2,78.72,1141.2,2.50500011,23.7
2010-10-01,1318.75,1306.7,1320.65,1306.5,78.088,1146.24,2.51200008,22.5
2010-10-05,1339.65,1313.9,1341.7,1312.6,77.749,1160.75,2.47900009,21.75999
2010-10-06,1349.1,1339.0,1349.8,1339.0,77.386,1159.97,2.47399998,21.49001
2010-10-07,1332.95,1348.15,1364.95,1326.05,77.387,1158.06,2.40100002,21.56
2010-10-08,1346.85,1331.35,1349.75,1324.95,77.325,1165.15,2.38499999,20.71001
2010-10-12,1348.45,1353.8,1355.25,1340.85,77.363,1169.77,2.38899994,18.92999
2010-10-13,1371.98,1349.4,1374.5,1349.4,77.071,1178.1,2.43300009,19.07001
2010-10-14,1379.9,1371.85,1387.15,1370.6,76.647,1173.81,2.4289999,19.88
2010-10-15,1368.4,1379.55,1385.5,1362.5,77.041,1176.19,2.50900006,19.03
2010-10-19,1333.2,1369.37,1371.05,1328.45,78.184,1165.9,2.5150001,20.63
2010-10-20,1344.1,1331.3,1347.35,1330.85,77.171,1178.17,2.48099995,19.78999
2010-10-21,1325.05,1343.8,1349.05,1318.28,77.418,1180.26,2.48099995,19.27
2010-10-22,1328.35,1323.65,1328.6,1315.22,77.472,1183.08,2.54200006,18.78
2010-10-26,1339.6,1338.2,1343.6,1328.3,77.708,1185.64,2.56500006,20.22
2010-10-27,1323.9,1339.85,1343.55,1319.15,78.149,1182.45,2.64499998,20.71001
2010-10-28,1342.6,1323.55,1345.95,1323.15,77.308,1183.78,2.72199988,20.88
2010-10-29,1359.2,1344.2,1359.45,1335.55,77.266,1183.26,2.65899992,21.2
2010-11-02,1355.29,1351.95,1359.9,1350.55,76.722,1193.57,2.625,21.57001
2010-11-03,1347.05,1357.35,1364.7,1325.7,76.481,1197.96,2.58699989,19.56
2010-11-04,1392.1,1348.1,1393.4,1347.25,75.882,1221.06,2.579,18.52
2010-11-05,1393.45,1392.55,1398.35,1373.55,76.548,1225.85,2.49300003,18.25999
2010-11-09,1392.85,1409.45,1424.5,1382.9,77.443,1213.4,2.55800009,19.08
2010-11-10,1403.84,1392.9,1410.15,1384.2,77.634,1218.71,2.66300011,18.47
2010-11-11,1408.23,1403.65,1417.75,1397.36,78.217,1213.54,2.63899994,18.64
2010-11-12,1368.2,1408.34,1410.3,1360.1,78.082,1199.21,2.6559,20.61
2010-11-16,1339.55,1360.28,1364.75,1329.83,79.21,1178.34,2.96700001,22.58
2010-11-17,1335.99,1339.54,1344.98,1330.91,79.084,1178.59,2.84500003,21.75999
2010-11-18,1353.3,1335.75,1359.5,1335.75,78.617,1196.69,2.88199997,18.75
2010-11-19,1353.24,1353.3,1363.39,1341.78,78.504,1199.73,2.90100002,18.03999
2010-11-23,1376.43,1366.5,1382.55,1356.4,79.681,1180.73,2.80599999,20.63
2010-11-24,1373.08,1376.18,1381.5,1369.5,79.867,1198.35,2.78200006,19.56
2010-11-30,1385.93,1366.2,1389.9,1363.05,81.195,1180.55,2.82599998,23.53999
2010-12-01,1387.53,1386.2,1396.98,1382.05,80.713,1206.07,2.79699993,21.36
2010-12-02,1385.1,1387.7,1398.62,1383.16,80.303,1221.53,2.96600008,19.39
2010-12-03,1413.75,1384.8,1415.74,1384.8,79.377,1224.71,2.99600005,18.00999
2010-12-07,1401.63,1423.68,1431.3,1396.83,79.857,1223.75,2.9289999,17.99001
2010-12-08,1381.95,1401.97,1404.41,1371.47,79.997,1228.28,3.13499999,17.74001
2010-12-09,1386.79,1381.93,1394.69,1380.5,80.069,1233.0,3.27200007,17.25
2010-12-10,1385.45,1386.9,1392.25,1372.4,80.07,1240.4,3.21300006,17.61
2010-12-14,1395.7,1393.88,1408.2,1392.07,79.367,1241.59,3.27699995,17.61
2010-12-15,1380.2,1395.88,1397.3,1378.13,80.261,1235.23,3.47300005,17.94
2010-12-16,1369.88,1380.65,1386.44,1361.4,80.033,1242.87,3.53800011,17.39
2010-12-17,1374.95,1369.9,1379.1,1365.03,80.373,1243.91,3.43400002,16.11
2010-12-21,1385.35,1385.25,1392.2,1381.2,80.718,1254.6,3.33999991,16.49001
2010-12-22,1385.25,1385.45,1391.05,1383.3,80.727,1258.84,3.30299997,15.45
2010-12-23,1379.75,1385.08,1388.4,1372.48,80.496,1256.77,3.34800005,16.47
2010-12-28,1405.86,1383.55,1406.74,1382.85,80.365,1258.51,3.3269999,17.52
2010-12-29,1411.64,1405.85,1414.1,1401.5,79.796,1259.78,3.48200011,17.28
2010-12-30,1404.55,1411.35,1414.8,1403.35,79.521,1257.88,3.35500002,17.52
2010-12-31,1420.74,1404.5,1421.25,1404.35,79.028,1257.64,3.3670001,17.75
2011-01-04,1380.14,1414.65,1417.3,1375.1,79.444,1270.2,3.33400011,17.38
2011-01-05,1378.15,1380.1,1384.9,1364.3,80.258,1276.56,3.33800006,17.02
2011-01-06,1371.3,1377.98,1379.8,1364.76,80.791,1273.85,3.46300006,17.39999
2011-01-07,1369.05,1370.95,1378.85,1353.05,81.012,1271.5,3.39899993,17.14
2011-01-11,1381.25,1375.4,1386.74,1372.95,80.846,1274.48,3.28699994,16.89
2011-01-12,1387.75,1381.3,1388.85,1376.96,80.031,1285.96,3.33999991,16.24001
2011-01-13,1373.33,1387.8,1393.14,1369.9,79.191,1283.76,3.3670001,16.39
2011-01-14,1361.8,1373.18,1378.1,1355.3,79.162,1293.24,3.29900002,15.46
2011-01-19,1369.94,1368.0,1379.25,1365.8,78.64,1281.92,3.36999989,17.31
2011-01-20,1351.21,1369.65,1371.15,1343.55,78.823,1280.26,3.33699989,17.99001
2011-01-21,1342.44,1346.1,1350.4,1338.0,78.213,1283.35,3.45099998,18.47
2011-01-25,1332.15,1334.0,1338.6,1322.75,78.002,1291.18,3.4059999,17.59
2011-01-26,1345.75,1332.25,1346.6,1325.3,77.898,1296.63,3.32999992,16.64
2011-01-27,1313.74,1345.65,1348.0,1310.71,77.727,1299.54,3.421,16.14999
2011-01-28,1336.63,1313.7,1347.15,1308.45,78.133,1276.34,3.38899994,20.03999
2011-02-01,1341.08,1332.45,1343.45,1325.65,77.067,1307.59,3.37400007,17.63
2011-02-02,1334.8,1340.45,1344.8,1327.1,77.158,1304.03,3.43499994,17.3
2011-02-03,1354.2,1335.15,1356.05,1325.1,77.748,1307.1,3.47900009,16.69
2011-02-04,1348.48,1353.95,1359.9,1345.2,78.044,1310.87,3.54699993,15.93
2011-02-08,1363.6,1350.32,1368.25,1348.6,77.999,1324.57,3.6400001,15.81
2011-02-09,1363.6,1363.66,1367.25,1357.95,77.641,1320.88,3.73699999,15.87
2011-02-10,1363.7,1362.89,1366.45,1351.1,78.25,1321.87,3.65199995,16.09
2011-02-11,1356.6,1363.4,1368.94,1353.75,78.46,1329.15,3.7019999,15.69
2011-02-15,1373.48,1361.75,1376.75,1360.65,78.573,1328.01,3.625,16.37
2011-02-16,1374.19,1373.5,1382.0,1368.05,78.223,1336.32,3.60400009,16.72
2011-02-17,1383.78,1374.2,1385.1,1374.05,77.995,1340.43,3.62299991,16.59
2011-02-18,1389.95,1383.9,1392.0,1381.55,77.664,1343.01,3.57599998,16.42999
2011-02-23,1411.55,1398.8,1416.85,1395.85,77.409,1307.4,3.45900011,22.13
2011-02-24,1402.65,1411.33,1418.2,1392.45,77.057,1306.1,3.48300004,21.32001
2011-02-25,1410.29,1402.43,1411.8,1400.01,77.275,1319.88,3.45000005,19.22
2011-03-01,1433.2,1411.25,1434.9,1409.65,77.049,1306.33,3.42199993,21.00999
2011-03-02,1433.8,1433.18,1440.45,1427.85,76.671,1308.44,3.40300012,20.7
2011-03-03,1415.63,1434.49,1436.3,1410.45,76.483,1330.97,3.47099996,18.60001
2011-03-04,1430.79,1415.6,1432.2,1413.7,76.4,1321.15,3.55900002,19.06
2011-03-08,1428.8,1431.95,1436.79,1423.6,76.798,1321.82,3.51600003,19.82001
2011-03-09,1430.63,1428.78,1436.3,1423.16,76.721,1320.02,3.55100012,20.22
2011-03-10,1411.58,1430.65,1431.89,1403.25,77.276,1295.11,3.4690001,21.88
2011-03-11,1417.44,1411.65,1424.25,1405.05,76.776,1304.28,3.36199999,20.08
2011-03-15,1395.49,1428.64,1428.75,1381.25,76.328,1281.87,3.36500001,24.32001
2011-03-16,1399.35,1394.64,1406.3,1392.61,76.681,1256.88,3.30699992,29.39999
2011-03-17,1402.79,1399.65,1405.1,1386.96,76.041,1273.72,3.19199991,26.37
2011-03-18,1418.24,1403.8,1423.9,1402.41,75.718,1279.2,3.25699997,24.44
2011-03-22,1427.64,1426.29,1432.15,1419.76,75.434,1293.77,3.33200002,20.21001
2011-03-23,1436.2,1428.34,1441.05,1426.01,75.794,1297.54,3.32800007,19.17
2011-03-24,1429.49,1437.75,1447.7,1424.2,75.656,1309.66,3.35400009,18.0
2011-03-25,1429.49,1432.4,1437.9,1422.3,76.217,1313.8,3.40700006,17.91
2011-03-29,1418.19,1420.25,1423.3,1411.25,76.249,1319.44,3.44099998,18.16
2011-03-30,1422.8,1418.19,1430.4,1412.16,76.118,1328.26,3.49099994,17.71001
2011-03-31,1430.39,1423.0,1439.51,1420.76,75.857,1325.83,3.44400001,17.74001
2011-04-01,1428.49,1432.84,1436.45,1412.9,75.833,1332.41,3.47000003,17.39999
2011-04-05,1454.9,1434.2,1457.2,1430.2,75.882,1332.63,3.42499995,17.25
2011-04-06,1458.99,1455.93,1462.3,1451.66,75.514,1335.54,3.48699999,16.89999
2011-04-07,1457.4,1458.99,1465.15,1452.81,75.585,1333.51,3.54900002,17.11
2011-04-08,1474.69,1458.49,1475.09,1456.65,75.066,1328.17,3.54900002,17.87
2011-04-12,1453.49,1463.55,1467.39,1444.35,74.853,1314.16,3.58699989,17.09
2011-04-13,1455.8,1452.55,1462.35,1451.4,74.98,1314.41,3.4920001,16.92
2011-04-14,1472.9,1457.04,1475.5,1452.67,74.685,1314.52,3.45799994,16.27
2011-04-15,1486.84,1475.49,1488.15,1471.76,74.832,1319.68,3.49600005,15.32
2011-04-19,1494.74,1494.9,1499.67,1487.85,75.029,1312.62,3.38000011,15.83
2011-04-20,1501.4,1494.89,1505.9,1493.0,74.368,1330.36,3.36500001,15.07
2011-04-21,1503.6,1501.54,1509.02,1500.55,73.995,1337.38,3.40799999,14.69
2011-04-26,1506.3,1506.59,1508.45,1493.2,73.837,1347.24,3.36599994,15.62
2011-04-27,1526.3,1506.35,1530.24,1503.35,73.519,1355.66,3.30900002,15.35
2011-04-28,1534.9,1526.74,1538.39,1524.1,73.121,1360.48,3.35700011,14.62
2011-04-29,1563.0,1534.94,1569.4,1532.1,72.933,1363.61,3.31599998,14.75
2011-05-03,1536.2,1544.94,1551.05,1527.0,73.14,1356.62,3.2809999,16.7
2011-05-04,1514.5,1537.49,1543.16,1505.8,73.031,1347.32,3.25099993,17.08
2011-05-05,1472.59,1516.54,1521.99,1462.3,74.194,1335.1,3.22099996,18.2
2011-05-06,1494.6,1474.1,1498.34,1470.8,74.841,1340.2,3.15199995,18.39999
2011-05-10,1515.0,1512.59,1519.75,1506.15,74.611,1357.16,3.15700006,15.91
2011-05-11,1499.9,1515.89,1526.69,1495.9,75.327,1342.08,3.21300006,16.95
2011-05-12,1506.0,1499.25,1508.23,1478.31,75.24,1348.65,3.1559999,16.03
2011-05-13,1494.0,1506.29,1516.59,1483.01,75.757,1337.77,3.22600007,17.07001
2011-05-17,1486.44,1490.09,1497.69,1471.86,75.399,1328.98,3.14700007,17.55
2011-05-18,1496.3,1484.74,1499.94,1484.6,75.475,1340.68,3.11400008,16.23
2011-05-19,1491.94,1495.99,1499.69,1486.41,75.123,1343.6,3.18400002,15.52
2011-05-20,1512.1,1493.79,1515.8,1486.95,75.435,1333.27,3.1730001,17.42999
2011-05-24,1525.75,1516.89,1528.23,1513.1,75.882,1316.28,3.12899995,17.82001
2011-05-25,1524.0,1526.19,1532.25,1521.41,75.932,1320.47,3.11599994,17.07001
2011-05-26,1518.2,1524.29,1530.99,1514.5,75.549,1325.69,3.13199997,16.09
2011-05-27,1535.8,1517.79,1538.39,1517.79,74.954,1331.1,3.05900002,15.98
2011-06-01,1540.2,1535.54,1550.44,1529.4,74.677,1314.55,3.05900002,18.3
2011-06-02,1533.1,1539.59,1544.39,1519.61,74.333,1312.94,2.94400001,18.09
2011-06-03,1541.5,1533.79,1547.1,1524.25,73.783,1300.16,3.0309999,17.95
2011-06-07,1543.9,1544.39,1550.29,1536.31,73.521,1284.94,2.99699998,18.07001
2011-06-08,1535.7,1544.09,1546.39,1531.06,73.93,1279.56,3.0,18.78999
2011-06-09,1542.2,1536.15,1549.72,1533.41,74.192,1289.0,2.9460001,17.77
2011-06-10,1530.7,1544.19,1545.39,1526.11,74.795,1270.98,2.99699998,18.86
2011-06-14,1523.2,1515.99,1526.24,1512.26,74.332,1287.87,2.98399997,18.25999
2011-06-15,1529.85,1523.75,1534.54,1514.1,75.601,1265.42,3.09899998,21.32001
2011-06-16,1528.95,1530.0,1533.14,1521.65,75.752,1267.64,2.96700001,22.73
2011-06-17,1538.9,1528.49,1542.09,1522.81,74.988,1271.5,2.92600012,21.85001
2011-06-21,1548.0,1539.84,1548.04,1538.4,74.541,1295.52,2.95600009,18.86
2011-06-22,1547.0,1546.75,1558.3,1541.41,74.783,1287.14,2.98000002,18.52
2011-06-23,1520.9,1547.64,1548.69,1511.9,75.447,1283.5,2.98000002,19.28999
2011-06-24,1500.7,1521.25,1525.69,1498.4,75.665,1268.45,2.91400003,21.10001
2011-06-28,1500.5,1496.59,1506.44,1495.75,75.063,1296.67,2.93199992,19.17
2011-06-29,1511.55,1501.7,1513.05,1500.0,74.691,1307.41,3.03399992,17.27
2011-06-30,1500.0,1511.05,1513.94,1498.5,74.303,1320.64,3.12100005,16.52
2011-07-01,1486.5,1501.39,1502.64,1478.29,74.349,1339.67,3.16000009,15.87
2011-07-06,1528.7,1515.69,1533.89,1510.36,75.122,1339.22,3.11899996,16.34
2011-07-07,1531.6,1529.19,1534.54,1523.01,74.957,1353.22,3.1099999,15.95
2011-07-08,1543.5,1532.14,1545.45,1525.01,75.179,1343.8,3.13800001,15.95
2011-07-12,1567.15,1553.54,1573.64,1540.93,75.809,1313.64,2.92400002,19.87
2011-07-13,1582.2,1567.34,1587.95,1564.1,75.208,1317.72,2.87700009,19.91
2011-07-14,1587.2,1583.59,1594.29,1579.21,75.253,1308.87,2.88400006,20.8
2011-07-15,1593.0,1584.62,1593.88,1575.95,75.126,1316.14,2.95300007,19.53
2011-07-19,1587.85,1605.49,1610.14,1582.3,75.221,1326.73,2.92000008,19.21001
2011-07-20,1601.1,1587.54,1602.14,1581.21,74.792,1325.84,2.87800002,19.09
2011-07-21,1587.9,1601.4,1604.64,1584.8,74.015,1343.8,2.93099999,17.56
2011-07-22,1599.9,1589.69,1607.29,1583.75,74.201,1345.02,3.01399994,17.52
2011-07-26,1619.6,1614.84,1620.39,1608.16,73.474,1331.94,3.00399995,20.23
2011-07-27,1613.0,1619.59,1628.64,1608.99,74.087,1304.89,2.95499992,22.98
2011-07-28,1617.45,1613.69,1620.14,1603.23,74.222,1300.67,2.98200011,23.74001
2011-07-29,1626.4,1616.55,1632.74,1610.85,73.897,1292.28,2.95499992,25.25
2011-08-02,1659.25,1620.19,1661.64,1616.2,74.513,1254.05,2.75300002,24.78999
2011-08-03,1660.7,1659.85,1673.19,1651.7,74.044,1260.34,2.61299992,23.38
2011-08-04,1647.7,1660.4,1682.14,1640.41,75.124,1200.07,2.61500001,31.66
2011-08-05,1662.8,1647.29,1670.2,1641.8,74.598,1199.38,2.40700006,32.0
2011-08-09,1743.4,1716.85,1779.7,1715.0,74.605,1172.53,2.31599998,35.06
2011-08-10,1794.5,1744.44,1797.59,1737.6,74.636,1120.76,2.2750001,42.99001
2011-08-11,1765.6,1794.24,1814.89,1732.1,74.677,1172.64,2.09500003,39.0
2011-08-12,1745.7,1764.94,1768.29,1723.6,74.607,1178.81,2.33299994,36.36
2011-08-16,1786.25,1764.45,1787.09,1760.9,74.01,1192.76,2.30800009,32.85001
2011-08-17,1788.15,1785.54,1794.69,1778.3,73.674,1193.89,2.2249999,31.58
2011-08-18,1823.69,1789.24,1828.74,1783.8,74.244,1140.65,2.16700006,42.67
2011-08-19,1852.0,1824.19,1878.18,1821.5,74.009,1123.53,2.06800008,43.05
2011-08-23,1829.5,1897.34,1912.29,1823.5,73.894,1162.35,2.10899997,36.27
2011-08-24,1750.8,1829.36,1853.99,1749.8,74.012,1177.6,2.15799999,35.89999
2011-08-25,1772.29,1750.7,1774.69,1703.1,74.279,1159.27,2.29399991,39.75999
2011-08-26,1827.3,1773.54,1829.4,1757.1,73.814,1176.8,2.23399997,35.59
2011-08-30,1834.8,1788.54,1840.6,1783.9,73.946,1212.92,2.26399994,32.89
2011-08-31,1823.3,1835.89,1839.89,1811.71,74.117,1218.89,2.17600012,31.62
2011-09-01,1824.55,1824.74,1830.74,1813.85,74.479,1204.42,2.23399997,31.82001
2011-09-02,1883.1,1824.99,1884.64,1824.1,74.756,1173.97,2.13199997,33.92
2011-09-07,1816.6,1872.5,1880.24,1793.2,75.467,1198.62,1.98199999,33.38
2011-09-08,1868.26,1816.94,1870.74,1813.5,76.246,1185.9,2.04099989,34.32001
2011-09-09,1855.5,1869.24,1886.14,1823.1,77.192,1154.23,1.977,38.52
2011-09-13,1833.3,1814.04,1843.99,1794.18,76.919,1172.87,1.94799995,36.91
2011-09-14,1820.1,1833.54,1844.75,1808.5,76.833,1188.68,1.99199998,34.60001
2011-09-15,1788.8,1820.99,1826.54,1773.05,76.241,1209.11,1.99199998,31.97
2011-09-16,1811.1,1788.09,1821.69,1762.5,76.599,1216.01,2.08299994,30.98
2011-09-20,1803.25,1778.34,1811.59,1769.97,77.03,1202.09,1.95599997,32.86
2011-09-21,1779.7,1803.42,1816.51,1778.6,77.342,1166.76,1.93700004,37.32001
2011-09-22,1735.1,1778.86,1786.22,1721.13,78.455,1129.56,1.85599995,41.35001
2011-09-23,1655.4,1736.52,1755.22,1629.15,78.501,1136.43,1.72000003,41.25
2011-09-27,1648.7,1626.82,1677.32,1614.7,77.506,1175.38,1.90400004,37.71001
2011-09-28,1607.9,1649.27,1669.35,1598.6,77.852,1151.06,1.98000002,41.08
2011-09-29,1614.5,1606.87,1635.2,1583.0,78.028,1160.4,1.98699999,38.84
2011-09-30,1623.7,1616.42,1640.45,1606.83,78.553,1131.42,2.00200009,42.96001
2011-10-04,1623.6,1660.42,1679.07,1595.6,79.597,1123.95,1.74899995,40.82001
2011-10-05,1640.4,1625.02,1646.87,1596.95,78.919,1144.03,1.81700003,37.81
2011-10-06,1649.35,1641.47,1654.92,1632.0,78.634,1164.97,1.89100003,36.27
2011-10-07,1637.6,1649.47,1666.16,1626.33,78.726,1155.46,1.99199998,36.2
2011-10-11,1665.43,1674.62,1684.6,1654.18,77.585,1195.54,2.06960011,32.86
2011-10-12,1673.61,1661.65,1692.17,1660.5,76.994,1207.25,2.15899992,31.25999
2011-10-13,1665.3,1674.85,1684.32,1653.13,76.996,1203.66,2.21199989,30.7
2011-10-14,1680.57,1665.51,1683.77,1661.48,76.623,1224.58,2.18199992,28.24001
2011-10-18,1654.2,1670.87,1676.62,1627.23,77.138,1225.38,2.15499997,31.56
2011-10-19,1642.16,1654.72,1665.14,1639.6,77.114,1209.88,2.17499995,34.44
2011-10-20,1618.4,1643.75,1645.05,1603.93,76.974,1215.39,2.15700006,34.78
2011-10-21,1641.97,1619.11,1648.57,1611.4,76.395,1238.25,2.18700004,31.32001
2011-10-25,1703.35,1652.67,1708.97,1643.5,76.122,1229.05,2.23399997,32.22
2011-10-26,1725.28,1705.57,1726.66,1695.0,76.246,1242.0,2.11400008,29.86
2011-10-27,1744.5,1725.22,1750.02,1706.43,74.879,1284.59,2.20700002,25.46001
2011-10-28,1743.26,1744.4,1752.45,1732.67,75.067,1285.09,2.38499999,24.53
2011-11-01,1719.3,1714.12,1724.22,1681.51,77.261,1218.28,2.11599994,34.77
2011-11-02,1736.5,1720.12,1744.17,1714.1,77.017,1237.9,1.99100006,32.74001
2011-11-03,1762.8,1737.27,1767.66,1723.1,76.672,1261.15,1.98899996,30.5
2011-11-04,1754.52,1764.17,1765.7,1748.98,76.962,1253.23,2.07299995,30.16
2011-11-08,1786.0,1794.83,1802.92,1777.0,76.586,1275.92,2.01999998,27.48
2011-11-09,1769.65,1786.13,1799.72,1764.0,77.926,1229.1,2.079,36.16
2011-11-10,1758.1,1769.63,1775.43,1736.04,77.743,1239.66,1.96599996,32.81
2011-11-11,1789.1,1758.1,1789.28,1744.6,76.945,1263.85,2.05699992,30.03999
2011-11-15,1780.3,1779.89,1786.17,1760.49,77.872,1257.81,2.04500008,31.22
2011-11-16,1763.2,1780.55,1783.67,1753.58,78.016,1236.91,2.04900002,33.50999
2011-11-17,1721.28,1763.15,1766.91,1710.72,78.282,1216.13,2.0,34.50999
2011-11-18,1723.1,1721.15,1737.49,1710.9,78.064,1215.65,1.96500003,32.0
2011-11-22,1699.52,1676.95,1705.57,1669.2,78.266,1188.04,1.96500003,31.97
2011-11-23,1691.83,1699.3,1710.11,1677.43,79.141,1161.79,1.92200005,33.98
2011-11-29,1715.38,1711.83,1720.18,1703.86,79.007,1195.19,1.97000003,30.64
2011-11-30,1746.05,1715.1,1750.45,1701.01,78.384,1246.96,1.98800004,27.8
2011-12-01,1744.4,1746.15,1754.21,1733.5,78.328,1244.58,2.0710001,27.41
2011-12-02,1747.9,1744.45,1763.01,1737.9,78.625,1244.28,2.08599997,27.52
2011-12-06,1727.6,1722.35,1733.0,1702.43,78.499,1258.47,2.03299999,28.13
2011-12-07,1741.5,1728.2,1742.87,1720.43,78.485,1261.01,2.08599997,28.67
2011-12-08,1708.08,1741.65,1756.27,1704.42,78.832,1234.35,2.03299999,30.59
2011-12-09,1711.2,1708.15,1724.01,1703.74,78.632,1255.19,1.97000003,26.38
2011-12-13,1631.28,1666.0,1678.17,1622.3,80.242,1225.73,2.01699996,25.41
2011-12-14,1573.83,1631.15,1642.1,1563.98,80.589,1211.82,1.96300006,26.03999
2011-12-15,1570.25,1573.8,1594.0,1560.63,80.321,1215.75,1.90400004,25.11
2011-12-16,1598.45,1570.2,1601.24,1566.5,80.256,1219.66,1.91100001,24.28999
2011-12-20,1615.6,1593.8,1618.62,1590.1,79.882,1241.3,1.80999994,23.22
2011-12-21,1614.5,1615.5,1641.75,1606.28,80.022,1243.72,1.92700005,21.42999
2011-12-22,1606.15,1614.65,1616.89,1598.02,79.964,1254.0,1.97000003,21.16
2011-12-23,1606.7,1606.1,1613.82,1603.01,79.93,1265.33,1.95299995,20.73
2011-12-27,1592.7,1606.9,1608.8,1589.5,79.797,1265.43,2.02570009,21.91
2011-12-28,1556.2,1592.3,1593.03,1549.5,80.497,1249.64,2.00200009,23.52
2011-12-29,1544.5,1555.9,1561.3,1522.93,80.486,1263.02,1.921,22.64999
2011-12-30,1564.6,1545.15,1581.4,1544.4,80.178,1257.6,1.89900005,23.39999
2012-01-03,1604.11,1568.67,1607.4,1566.8,79.611,1277.06,1.87279999,22.97
2012-01-04,1611.9,1603.4,1618.57,1592.7,80.129,1277.3,1.95599997,22.22
2012-01-05,1622.3,1610.9,1625.77,1597.07,80.936,1281.06,1.98399997,21.48
2012-01-06,1618.0,1622.17,1631.1,1608.8,81.254,1277.81,1.99600005,20.63
2012-01-10,1631.8,1610.3,1640.34,1607.3,80.805,1292.08,1.95599997,20.69
2012-01-11,1641.0,1632.01,1647.14,1630.0,81.351,1292.48,1.96300006,21.05
2012-01-12,1649.6,1641.2,1661.95,1640.0,80.77,1295.5,1.90499997,20.47
